Input_Name,Selected_Name,Rank,Score,URL,Timestamp
"Chilla","Chilla",1,1.00,"/artist/1ywkNtrO3WGuwaehqxyjAO","2026-05-05 08:25:22"
"Chris Hyson","Chris Hyson",1,1.00,"/artist/2joqhIRsfoh7YoUdtXrQjd","2026-05-05 08:25:37"
"Christophe Julien","Christophe Julien",1,1.00,"/artist/5VOVvjzama6nfj1PCmhpfU","2026-05-05 08:25:51"
"Christophe Rousset","Christophe Rousset",1,1.00,"/artist/5JYgjQKgcKOCWvsMztDF2z","2026-05-05 08:26:04"
"Christophe Willem","Christophe Willem",1,1.00,"/artist/0wb3S587JG0riRtdPA6PQD","2026-05-05 08:26:18"
"Christopher Schwarzwälder","Christopher Schwarzwälder",1,1.00,"/artist/11i3tISGuOUmWFuXTRNrtD","2026-05-05 08:26:30"
"Class Actress","Class Actress",1,1.00,"/artist/4nZbOHYEypqHtWwTPQu8Fl","2026-05-05 08:26:45"
"Claude François","Claude François",1,1.00,"/artist/0P2p1bqVyP2EgqubwjTBUJ","2026-05-05 08:26:56"
"Cliché","Cliché",1,1.00,"/artist/26mcv3jlrmAjCqSjXJdyxL","2026-05-05 08:27:08"
"Clinton Shorter","Clinton Shorter",1,1.00,"/artist/23Vu6ClvSnmNSbz3ODd3iJ","2026-05-05 08:27:19"
"Club Kuru","Club Kuru",1,1.00,"/artist/1AdQnmF6taa106PwtUBK6O","2026-05-05 08:27:31"
"Cléa Vincent","Clea Vincent",1,0.92,"/artist/6eforqOxk5mRrgprF7XtYu","2026-05-05 08:27:43"
"Cold War Kids","Cold War Kids",1,1.00,"/artist/6VDdCwrBM4qQaGxoAyxyJC","2026-05-05 08:27:54"
"Columbia Symphony Orchestra","Columbia Symphony Orchestra",1,1.00,"/artist/1iNPygduJOu0JnzasoDVLE","2026-05-05 08:28:06"
"Common Saints","Common Saints",1,1.00,"/artist/5UA8O7xDhZ74ebRYT0XOxB","2026-05-05 08:28:18"
"Crowded House","Crowded House",1,1.00,"/artist/7ohlPA8dRBtCf92zaZCaaB","2026-05-05 08:28:28"
"Culture Club","Culture Club",1,1.00,"/artist/6kz53iCdBSqhQCZ21CoLcc","2026-05-05 08:28:40"
"Czech Philharmonic","Czech Philharmonic",1,1.00,"/artist/35NnUEPKGspM23lTZvK3cb","2026-05-05 08:28:50"
"Cœur De Pirate","Cœur De Pirate",1,1.00,"/artist/2eRNMtoi82UZUuaL6naDjA","2026-05-05 08:29:02"
"D3lta","D3lta",1,1.00,"/artist/1SN6kwZUyCW4HCACE6DQhh","2026-05-05 08:29:13"
"Daedr1k","Daedr1k",1,1.00,"/artist/3GDZPjtdr7bmVhbWfziQE4","2026-05-05 08:29:26"
"Dafuniks","Dafuniks",1,1.00,"/artist/04Sif7zzcEJZhYZy5BW3gZ","2026-05-05 08:29:38"
"Daigo Hanada","Daigo Hanada",1,1.00,"/artist/7kxdoQTibsQW5pOim1p2i3","2026-05-05 08:29:48"
"Dani Terreur","Dani Terreur",1,1.00,"/artist/5AWtYkPhj1X2cECuTUfq7Z","2026-05-05 08:29:58"
"Daniel Harding","Daniel Harding",1,1.00,"/artist/3sjupE75AphhTX12fgkQv6","2026-05-05 08:30:10"
"DARGZ","DARGZ",1,1.00,"/artist/0AggcZhPMyJglaaruoxJpN","2026-05-05 08:30:20"
