#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
39,"Je sais qui tu es","Fred Avril,Philippe Monthaye",20,142,"","Lastman (Bande sonore originale de la série)",2017-06-16,02:47,41,86,1,64,27,0,0,-6,B Major,4,2021-12-29,4hR7tcrx71q2KPY4j0BmET,"undefined",1B,FR9W11703208
40,"Love's a Stranger","Warhaus",0,162,"","Warhaus",2017-10-13,03:26,56,59,19,0,62,0,10,-9,A Minor,4,2021-12-29,7xZeYL5wzHhpe6JSm8y65b,"undefined",8A,GBENL1701900
41,"Arc-en-ciel","Polo & Pan",34,116,"house française","Arc-en-ciel",2018-06-01,03:51,78,59,7,0,45,0,0,-8,G Minor,4,2021-12-29,1gWZZyQPb8KxMLS88wCdGR,"undefined",6A,FRPDG1800170
42,"Theme (From  Eternal Sunshine of the Spotless Mind )","London Music Works",0,82,"","Romance at the Movies",2011-01-17,02:16,28,9,90,94,26,0,10,-20,F Minor,4,2021-12-29,4JvXFWVNcU8WJebrKTeqty,"undefined",4A,GBAJC1000336
43,"Raccroche pas petit","Fred Avril,Philippe Monthaye",14,132,"","Lastman (Bande sonore originale de la série)",2017-06-16,02:03,44,23,36,52,21,0,0,-9,A Minor,4,2021-12-29,6TxLIJM4KdZSITttpPbLZg,"undefined",8A,FR9W11703205
44,"Song For Zula","Phosphorescent",0,86,"chamber pop","Muchacho De Lujo (Deluxe Edition)",2013-10-29,06:10,49,63,73,53,52,0,0,-8,E Major,4,2021-12-29,3zr2s3o2Ye1j6t0ZMdoUYi,"undefined",12B,USJ5G1305002
45,"Remedios","Gabriella Ferri",0,136,"","Gabriella Ferri",2000-11-25,02:36,70,42,55,0,72,0,30,-11,A Major,4,2021-12-29,0b7J7qoMiATuGuSxFddHkY,"undefined",11B,ITB007400084
46,"Unwillen-nichtwollen","Wim Mertens",0,80,"minimalisme, new age, néo-classique","Charaktersketch",2015-05-01,05:41,55,46,93,78,57,0,10,-8,D Minor,1,2021-12-29,1hYDvhfzy6BBeCOkc24htY,"undefined",7A,BEW031462112
47,"Superflu","Saint Privat",0,107,"jazz français","Superflu",2007-02-05,04:18,93,50,36,2,95,0,30,-8,G Major,4,2021-12-29,4FsrnpvUJ3dNA4u0P9WmtU,"undefined",9B,ATW630601904
48,"Both Sides Now","Judy Collins",41,59,"folk, folk rock","The Very Best Of Judy Collins",2001-08-21,03:15,35,30,41,0,30,0,10,-9,G#/A♭ Major,4,2021-12-29,2xLU9wcdlFtuCIUDn05d2p,"undefined",4B,USEE16700003
49,"Le fou du phare","Ezéchiel Pailhès",37,99,"","Tout va bien",2017-04-07,04:16,86,41,24,6,85,0,30,-8,A Minor,4,2021-12-29,5zt3ZHr8qYeWnd6cUDFvbF,"undefined",8A,FR2T01700009
50,"Comme toi","Clara Luciani",28,123,"pop française, variété française, chanson, house française","Sainte-Victoire",2018-04-06,02:40,66,71,10,0,68,0,20,-7,A#/B♭ Major,4,2021-12-29,5LFmrzD89nOZB7avzwC5VC,"undefined",6B,FRUM71700260
51,"Les vitrines","Kid Francescoli",0,112,"","Play Me Again",2017-03-03,03:17,70,62,1,77,39,0,50,-6,D Minor,4,2021-12-29,3GyOPU16lqk4zQgzX3jBF8,"undefined",7A,FRP621600200
52,"Brazil","Geoff & Maria Muldaur",38,95,"","Pottery Pie",1970-00-00,03:31,51,57,58,14,77,0,0,-11,A#/B♭ Major,4,2021-12-29,1HDLnDrZSxZ2Rb1yq9nZKK,"undefined",6B,USRE10300082
53,"Eleven Wives","Avishai Cohen Trio",0,113,"","Gently Disturbed",2008-00-00,05:16,36,65,63,80,55,0,10,-10,A Minor,3,2021-12-29,2p8jGbu44hxF3gBf5WDsJk,"undefined",8A,US2W60846706
54,"Dance of Maria","Elias Rahbani",0,100,"","Mosaic of the Orient",1992-00-00,02:47,47,51,1,55,48,0,20,-12,C♯/D♭ Major,4,2021-12-29,4Pz6wlElvVe3JsLaRsj6kW,"undefined",3B,FR10S1444960
55,"Jamais seule","Loane",18,124,"jazz français, pop française","Jamais Seule",2008-05-09,03:18,73,66,56,0,90,0,0,-5,G Major,4,2021-12-29,36Eg63yef2XzXovKwXmXIe,"undefined",9B,FRZ110800590
56,"Lloraras","Dimension Latina,Oscar D'León",0,96,"salsa, salsa romantica, merengue","15 Exitos De- Oscar D Leon",1996-02-28,03:41,71,71,58,0,96,0,0,-8,A Major,4,2021-12-29,23Fw0qh3Onqn2276LiL2pT,"undefined",11B,US2BR9700006
57,"Révèle-toi","Fred Avril,Philippe Monthaye",10,113,"","Lastman (Bande sonore originale de la série)",2017-06-16,02:06,22,68,0,93,4,0,0,-10,A#/B♭ Minor,4,2021-12-29,6yYacekeJ9ZlHGsh6Ym1QF,"undefined",3A,FR9W11703206
58,"La piscine","Bazbaz,Paris Jazz Big Bang,Jérôme Perez,Fabrice Colombani,Christiane Prince",0,79,"chanson, pop française, ","Hors de prix (Bande originale du film de Pierre Salvadori)",2006-12-18,01:54,41,44,98,95,15,0,10,-11,D#/E♭ Major,3,2021-12-29,45Pd1A5LE2I6N8T9idz074,"undefined",5B,FRZ810613631
59,"My World","Deluxe",35,190,"électro swing","Stachelight",2016-01-22,05:26,47,50,5,0,32,0,0,-7,G Minor,3,2021-12-29,3wbjTDC7eQycl0y1eFCHjA,"undefined",6A,FRP7S1500300
60,"Lavidinan - Version longue","Yepa,L.E.J",0,73,"pop française, variété française","Jumeaux",2019-04-26,04:49,54,66,48,0,34,10,10,-8,D#/E♭ Minor,4,2021-12-29,1l7gUyqt6UghDRipVy74Zh,"undefined",2A,FR9W11810792
61,"It's All Okay","Julia Stone",13,113,"","By The Horns",2012-05-28,03:54,70,47,57,8,31,0,10,-13,A#/B♭ Minor,4,2021-12-29,2aYU0Ww6Iceg3h8PtTKYZj,"undefined",3A,AUAP11100010
62,"La mer","Charles Trenet",44,85,"chanson, jazz français, variété française","The Extraordinary Garden - The Very Best Of Charles Trenet",1990-06-25,03:21,24,17,97,11,56,0,30,-16,C Major,3,2021-12-29,7sZSe99XSTu5KpYJEThvWr,"undefined",8B,FRZ114600020
63,"Adventures","Futuro Pelo",33,115,"","Bluff",2017-10-30,03:56,77,66,8,0,31,0,0,-8,B Major,4,2021-12-29,1cFafTZ4kcW0lb4TIOyBqm,"undefined",1B,FR9W11701498
64,"Perfidia","Mambo All Stars",0,143,"son cubano, bolero, jazz latino, mambo","Dexter (Music from the Showtime Original Series)",2007-01-01,02:36,80,86,38,1,83,0,0,-6,C Major,4,2021-12-29,3HvKUtGKy63aUrjSnk1vJJ,"undefined",8B,USPS19700001
65,"Tu Sais Comme Je Suis","Halo Maud",0,130,"pop psychédélique","Je Suis Une île",2018-05-25,04:15,57,64,77,7,32,0,10,-7,F Major,4,2021-12-29,7IfxYuy1MOzXmZnB6DTtV2,"undefined",7B,FR9W11727244
66,"The Letter","Al Green",32,177,"soul, motown, soul blues","Greatest Hits: The Best of Al Green",2014-11-24,02:27,56,48,68,0,62,10,10,-10,A Minor,4,2021-12-29,64TVevcDntWfWRDQyMw9i5,"undefined",8A,US2HK1448709
67,"La belle vie","Sacha Distel",58,76,"chanson, variété française, jazz français","Sacha Distel: Crooner",2014-11-15,02:03,20,40,79,0,25,0,30,-9,G Minor,4,2021-12-29,78OdnOhPOk19xYhGAKgjCO,"undefined",6A,FRZ306400003
68,"Don't Forget the Nite","Les Rita Mitsouko",28,138,"variété française, chanson, pop française, house française","Rita Mitsouko",1984-01-04,02:44,64,59,23,1,78,0,0,-9,D Major,4,2021-12-29,67dxZO75T5wRjrLdfA28zh,"undefined",10B,FRZ188410010
69,"Underwater Love","Smoke City",54,82,"trip-hop, downtempo","Flying Away",1997-08-25,06:46,69,63,81,3,52,20,0,-8,F#/G♭ Major,4,2021-12-29,1vahbgf2hkAjBvYRtIo09F,"undefined",2B,GBAHK9700028
70,"Woman - Single Version","Cat Power,Lana Del Rey",35,109,"slowcore, auteurs-compositeurs-interprètes, ","Woman",2018-08-15,04:05,56,40,76,2,37,0,20,-10,C Major,4,2021-12-29,1HG8xfsFVtu415WNChKcoa,"undefined",8B,GBCEL1800316
71,"Everything I Am Is Yours","Villagers",59,110,"","Darling Arithmetic",2015-04-13,03:30,87,51,67,27,69,0,10,-11,E Minor,4,2021-12-29,281ioxkZbJ3p9hCvjD2bon,"undefined",9A,GBCEL1400720
72,"¿Porqué te vas?","Jeanette",71,173,"","Porque Te Vas",2011-03-11,03:21,61,46,43,0,96,0,10,-11,C Minor,4,2021-12-29,11rsK9GDZ9UdWsxtDqnMmN,"undefined",5A,ES5099800415
73,"Initials BB","Bulgarian Symphony Orchestra",14,101,"musique médiévale","Gainsbourg Vie Héroique (Bof)",2010-01-01,00:50,39,67,46,48,48,0,10,-6,D#/E♭ Major,4,2021-12-29,6T7B2RP4sC2cxxoodtsN3T,"undefined",5B,FR9W10904960
74,"Paraiso","Flavia Coelho",0,100,"","Sonho Real",2016-10-07,03:11,74,48,78,0,73,0,0,-9,F Minor,4,2021-12-29,2UO5r1xWYVmmF6uEiAF0vt,"undefined",4A,FR3HI1600030
75,"Les limbes","Fred Avril,Philippe Monthaye",11,114,"","Lastman (Bande sonore originale de la série)",2017-06-16,01:58,61,29,3,76,18,0,60,-14,G#/A♭ Major,4,2021-12-29,3PWgP82ZTMHyADbLm83ma2,"undefined",4B,FR9W11703209
76,"Mathar - Radio Mix","Indian Vibes",31,118,"","mathar remixes",1994-09-26,03:54,74,68,4,53,39,0,10,-9,A Major,4,2021-12-29,1RCWURNqpCKRSjfYSyCkkA,"undefined",11B,FRZ119405533
77,"Framboise","Boby Lapointe",29,135,"chanson, variété française","Avanie Et Framboise",1997-01-01,02:40,78,30,82,0,71,10,10,-9,D Major,4,2021-12-29,4Fttl9CyUY7GlcMm6TIBfg,"undefined",10B,FRZ036000780
78,"Ya Rayah","Rachid Taha",50,101,"raï, gnaoui","Rachid Taha",1993-05-28,06:14,80,70,38,1,97,0,10,-13,E Minor,5,2021-12-29,1wJNH6cko8Whrp2zMnpKML,"undefined",9A,FRZ019203450
79,"A Girl Like You","Edwyn Collins",1,126,"britpop","Gorgeous George",1994-00-00,03:56,62,78,2,0,53,0,40,-7,F Minor,4,2021-12-29,6XOINCZBv8Q7RXgNNiTwIN,"undefined",4A,GB72T1100001
80,"First Fight","Fred Avril,Philippe Monthaye",16,123,"","Lastman (Bande sonore originale de la série)",2017-06-16,01:34,68,71,8,94,6,0,10,-9,D Major,4,2021-12-29,7lV3EQWWTthfkwUALNoFzc,"undefined",10B,FR9W11703222
81,"Bistro Fada","Stephane Wrembel",51,99,"jazz français","Bistro Fada",2011-05-13,03:02,76,37,89,85,86,0,0,-11,E Minor,3,2021-12-29,08T5wMbEnPN8ghT8o24KY6,"undefined",9A,uscgj1179165
82,"Ashes to Ashes","Warpaint",0,119,"dream pop","Ashes to Ashes",2010-10-05,05:10,70,87,19,3,80,0,10,-6,C♯/D♭ Major,4,2021-12-29,2lJa0SY7vZpvJ7QDFanOuZ,"undefined",3B,GBHLW1011156
83,"J-SOUL","SAMURAI JAPON",6,170,"","SAMURAI JAPON",2018-06-01,01:48,57,65,15,86,93,0,20,-11,G#/A♭ Major,4,2021-12-29,1FAkQQqOQ6G2DDBIjXFvB4,"undefined",4B,TCJPH1813634
84,"Rosy Path","Elysian Fields",19,98,"","Ghosts of No",2016-04-29,03:11,64,44,4,28,47,0,10,-12,E Minor,4,2021-12-29,4McgSsSRGd4SAvpnosBhbg,"undefined",9A,FRQ031614202
85,"Toute la pluie tombe sur moi","Sacha Distel",46,121,"chanson, variété française, jazz français","Sacha Distel: Crooner",2014-11-15,03:00,59,59,61,0,65,0,20,-9,C♯/D♭ Major,4,2021-12-29,199J8Nvx5oDmOKwAhtt9f1,"undefined",3B,FRZ308900009
86,"Den Thelo Pia Na Xanarthis - Remix","Meri Lida,Manolis Hiotis,Imam Baildi",38,105,"laïkó, entehno","Imam Baildi",2007-01-01,03:31,68,74,12,13,69,0,20,-6,D Major,4,2021-12-29,3kww9UCcjfDGeoEdk2xICg,"undefined",10B,GRTC10700088
87,"Je suis d'accord - Stereo Mix","Françoise Hardy",34,82,"chanson, pop française, variété française, jazz français","Tous les garçons et les filles",1962-06-30,02:03,67,50,65,0,92,0,10,-9,G#/A♭ Major,4,2021-12-29,2bpo5VdILic6cZ4KwXoQj3,"undefined",4B,FRZ196200040
88,"Abesses","Birdy Nam Nam",31,90,"house française, dubstep, électro","Birdy Nam Nam",2005-01-01,06:12,76,69,3,79,83,0,10,-7,F#/G♭ Minor,4,2021-12-29,1ObQhfyAJMl4Kb2vb9U6ZN,"undefined",11A,FRQ040500079
89,"Deixa A Gira Girar","Os Tincoãs",51,113,"axé, samba","Welcome To The ORISHAS HOMELAND - In The Rhythm Of Nature And Faith",2013-01-01,03:11,51,60,62,0,56,0,0,-10,C♯/D♭ Major,4,2021-12-29,3BD2hlwoExMUXUpxcYxaWx,"undefined",3B,BRUM71400048
90,"Boom Boom","John Lee Hooker",59,161,"blues, blues classique, blues rock, soul blues, country blues, jazz blues","Burnin'",1962-01-01,02:32,44,46,62,0,92,0,10,-14,A#/B♭ Major,4,2021-12-29,2Mr1bGI2E10K7Mt1UJZ6Mw,"undefined",6B,USVJ10400579
91,"Stand On The Word - Larry Levan Mix","The Joubert Singers",0,108,"","Unabombers: Electric Chair Saved My Life",2008-10-06,04:42,71,70,47,0,48,0,0,-8,D#/E♭ Minor,4,2021-12-29,3C6GsMNeIB43geupbc85Dz,"undefined",2A,GBPUP0820042
92,"Nemesis","Benjamin Clementine",42,116,"art pop","At Least For Now (Deluxe)",2016-04-08,05:00,51,64,47,2,30,0,20,-8,F Minor,3,2021-12-29,7aNwPr0nR3zocELBBe0Xzv,"undefined",4A,FR9W11417035
93,"Cornelia","The Eastern Plain",26,140,"","Cornelia",2019-02-08,03:20,57,48,89,3,46,0,10,-10,D Major,4,2021-12-29,4MmL8f90rJfgKRmbZMxiz9,"undefined",10B,SE5Q51828941
94,"Kiss the Sky","Shawn Lee's Ping Pong Orchestra",0,85,"","Voices and Choices",2006-01-30,03:39,56,68,8,70,30,0,10,-6,F#/G♭ Minor,4,2021-12-29,5zVW76plgG9B4904OXXXZd,"undefined",11A,USUR40720704
95,"Work It Out","Hannah Williams,The Tastemakers",34,128,"retro-soul","A Hill of Feathers",2012-10-15,03:36,62,26,56,0,58,0,0,-8,B Minor,3,2021-12-29,32SPqPQh5Ydb8oJTIdCOIO,"undefined",10A,ITG581200054
96,"My Gurl","Part Company",15,116,"","Seasons",2017-03-03,02:58,72,53,21,0,40,0,10,-8,D Major,4,2021-12-29,3hSe3ctvOXjeqTcTSDY8jb,"undefined",10B,FR4DI1500200
97,"Moins d'une minute (Starring Marianne Elise)","Fred Avril,Philippe Monthaye",10,121,"","Lastman (Bande sonore originale de la série)",2017-06-16,01:39,71,75,34,1,86,0,10,-5,C Major,4,2021-12-29,53kIGiCznwlAEFL9C2BkFD,"undefined",8B,FR9W11703221
98,"Gallop","Jeremy Jay",0,132,"","Slow Dance",2009-03-24,03:52,65,61,20,30,85,0,10,-11,C Major,4,2021-12-29,5SbbU0DpuqmYqSFm1oH1Kt,"undefined",8B,USK110919703
99,"The Deconstruction","Eels",0,95,"","The Deconstruction",2018-04-06,04:10,66,54,16,7,27,0,0,-8,D Minor,4,2021-12-29,4m8FrfcmYRCN6ucbFbYe7y,"undefined",7A,GBPVV1702146
100,"Beyond the Sea","Bobby Darin",53,136,"big band, standards pour adultes, swing, doo-wop","The Ultimate Bobby Darin",2004-11-23,02:52,52,52,72,0,57,0,20,-7,D Minor,4,2021-12-29,2EIaO5knwUA3F2qnf9LV3S,"undefined",7A,USEW10000026
