#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
15,"Les glaçons","Madeleine",110,5A,42,-,02:38,25,"pop française indie, pop française","Les glaçons",2023-03-10,81,79,0,58,0,0,-10,C Minor,4,4koW7ICmq2jZoKvctQZx4S,FR9W12223534
16,"L'amour dans les années 80","Lilian Barbe",78,9B,31,-,01:03,36,"","L'amour dans les années 80",2022-03-27,46,92,0,82,0,10,-20,G Major,4,0ee5AO7NXclwA6bpECdk75,QZES92215304
17,"Escapism","A. Blomqvist",166,5A,6,-,01:35,12,"","Escapism",2020-10-02,31,100,95,21,0,10,-24,C Minor,3,5HTj2M5NUAWxmFgBRWnWmt,UK6KW2000265
18,"les filles, les meufs","marguerite",154,8B,55,-,02:59,70,"pop française, variété française","les filles, les meufs",2025-04-18,74,63,0,38,0,10,-6,C Major,4,1aLHvqPB5CxGYzhJB7Hzo1,FRZ052500138
19,"Vacuum","Bobbi Lu",160,6A,33,-,03:35,30,"","Arrow, Four",2024-10-25,33,78,10,50,0,10,-15,G Minor,3,6UPyOLU7YFLz9tH6w0EmdU,BEKE52400001
20,"Celebration","Yom",140,6A,36,-,03:34,41,"","Celebration",2021-05-28,31,96,90,17,0,10,-16,G Minor,4,2MRjxnjLyrSPHTWICUTrBv,FXQ312100023
21,"No Scrubs","Scout Niblett",106,7B,22,-,03:20,32,"","It's Up To Emma",2013-05-21,51,88,0,6,0,10,-16,F Major,4,56tcL51K2elJX5KJEST7hW,US58L1353207
22,"Cascades","Tonnerre",160,5A,66,-,01:54,0,"","Ripples",2023-01-23,58,79,79,25,0,10,-11,C Minor,4,0I0ovH4VP1dfi3bmzRdVzm,QZFZ32351559
23,"Paradis - Pablo leo mix","Cyril Brière,Margau Herman,Pablo Leo",120,10B,57,-,02:50,8,"pop française, house française, tropical house","Paradis (Pablo leo mix)",2025-04-25,71,13,0,52,0,10,-9,D Major,4,15ckO2rACptSm0D3auo2J1,FR9W12506500
24,"J'aime toucher vous","Hélène Sio",148,4A,63,-,02:39,43,"pop française indie, pop française","J'aime toucher vous",2022-12-16,78,29,1,45,0,60,-11,F Minor,4,4qxFIjVynkg4QXQIOjC893,FR9W12246396
25,"Les ratures","Hélène Sio",108,4B,22,-,03:17,38,"pop française indie, pop française","Les ratures",2025-04-25,48,96,0,7,0,0,-13,G#/A♭ Major,4,3HSSGaHoHkJK4wXxr0bdQq,FR6F32501120
26,"Faces - Prod. by Roberto Ferrante - 2020 Remaster","Clio,Roberto Ferrante",120,8B,88,-,05:40,47,"disco italienne, dance italienne, high-nrg, post-disco","Faces (2020 Remaster)",1985-00-00,80,9,4,96,0,0,-4,C Major,4,7zUkx37JJ7iz3ru4Y7Zd26,FR6V81035938
