#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1451,"Justine","Johnny Jane",140,8B,61,2025-09-07,04:04,39,"pop française indie, pop française","Attitude(s)",2024-04-12,68,38,76,70,0,10,-10,C Major,4,2IesFGUUr61fLTGfsb3r5F,FRZ052400065
1452,"Pierrot","Loïc Lantoine,The Very Big Experimental Toubifri Orchestra",100,8B,42,2025-09-08,03:45,34,"chanson","Nous",2017-10-20,65,81,12,51,0,70,-9,C Major,4,1bTQN7R1vZ8y0Jd1FjUzhK,FRP401700300
1453,"Les glaçons","Madeleine",110,5A,42,2025-09-08,02:38,22,"pop française indie, pop française","Les glaçons",2023-03-10,81,79,0,58,0,0,-10,C Minor,4,4koW7ICmq2jZoKvctQZx4S,FR9W12223534
1454,"Hello Kader, Kader Algérie","KINO",122,5A,69,2025-09-13,02:26,24,"","Hello Kader, Kader Algérie",2025-09-10,67,2,0,68,0,0,-11,C Minor,4,3waUvWuJfPBIaHo2k99h9i,QZZ7U2566287
1455,"Tout simplement","Madeleine",162,3B,67,2025-09-13,03:23,10,"pop française indie, pop française","Tout simplement",2025-04-30,61,6,8,71,0,10,-7,C♯/D♭ Major,4,2WgCEnlh1ElNe5d2qKqTWf,FR9W12464051
1456,"À nous","Madeleine",125,9A,28,2025-09-13,04:40,7,"pop française indie, pop française","À nous",2023-12-08,54,84,0,48,0,10,-11,E Minor,4,3TUXpuRpqVdwqLXQVDyNOE,FR9W12223536
1457,"Reines","Lize",189,1A,33,2025-09-13,02:46,32,"pop française","Reines",2025-04-04,25,76,0,29,0,10,-9,G#/A♭ Minor,3,21PETETPbqBmYa55VLPhEB,FRUM72500398
1458,"Les amoureux des vents publics","Les Yeux D'La Tête",155,8B,75,2025-09-13,02:51,34,"","Danser sur les toits",2010-11-01,73,47,0,92,10,30,-4,C Major,4,3n4YeRpQryiohSVxBXayRK,FR6V81028558
1459,"Autour du berceau","Les Blaireaux",97,6B,62,2025-09-13,03:54,20,"chanson, house française","Parades prénuptiales (Version deluxe)",2007-09-24,68,88,0,52,0,0,-7,A#/B♭ Major,3,4pdNkLSiZ7YjSQYvv7pyri,FR19X0700070
1460,"L'étiquette","Karpatt",92,9B,77,2025-09-13,02:27,31,"chanson","Sur le quai",2011-12-05,64,24,0,84,0,10,-4,G Major,4,2DtzW272lTBe5iwXXC6JGA,FR1DT1100010
1461,"Morceau de papier","La Belle Bleue",130,5A,67,2025-09-13,02:16,27,"chanson, variété française","Morceaux de papier",2010-04-02,87,3,0,90,0,10,-7,C Minor,4,4utefvno8KkI0SX4RXmr1V,FR6V81077177
1462,"Coeur D'un Homme","Max Ransay",184,7A,59,2025-09-14,04:08,26,"zouk, kompa, maloya, musique traditionnelle","Coeur D'Un Homme",2006-06-27,69,36,0,92,10,0,-12,D Minor,4,11vIpxyHDsDli3OEIrMh2w,FR6V89902234
1463,"Dis - Blundetto version","Juliette Magnevasoa,Blundetto",172,11A,31,2025-09-15,02:34,20,"dub, nu jazz, reggae","Dis (Blundetto version)",2025-04-25,84,57,1,68,40,20,-13,F#/G♭ Minor,4,3GDoXOjTSkdttUKXmZ3X13,FR9W12504617
1464,"Call Me - Flavien Berger remix","ELOI,Flavien Berger",170,3B,65,2025-09-18,04:00,30,"hyperpop, pop française indie, pop française, house française","DernierOrage.Alt",2024-07-12,60,84,0,48,0,10,-8,C♯/D♭ Major,4,52XcbxThng8ywNuX59y33f,FREJP2450105
1465,"À tous ces garçons","Noor",130,11A,33,2025-09-19,03:48,42,"pop française, pop française indie","Les histoires tristes me collent au corps",2024-10-18,61,56,4,46,10,30,-16,F#/G♭ Minor,4,3WVA7O0veMH8eebOY66SGh,FRUM72401510
1466,"La tendresse","Bourvil",137,12B,26,2025-10-03,03:09,17,"chanson, variété française","Copains, Copains",1951-12-20,54,88,0,56,0,10,-14,E Major,3,5ROgjBWyUZA1Wxk4RTZr01,DEXO52472891
1467,"Félice Aussi","Fernandel",82,8B,50,2025-10-03,02:38,19,"chanson, variété française, pop française","Voici Fernandel",1953-12-10,70,96,0,94,10,20,-6,C Major,4,5cUdAWpUXf25gyuO4miDd0,DEZZ42170841
1468,"Le printemps","Tim Dup,Laura Cahen",134,8A,31,2025-10-03,03:06,40,"pop française indie, pop française, house française, variété française","Le printemps",2025-10-03,65,94,1,31,0,10,-13,A Minor,5,4gfVA7TLcyZFXAZfIbOibg,DGA052571241
1469,"Ça va","Patrick Watson,Solann",129,3B,30,2025-10-03,03:14,33,"pop française, variété française","Ça va",2025-08-26,43,86,0,9,0,10,-14,C♯/D♭ Major,3,5bQf0GkvmAvsVIq9iocbn9,CA0RZ2500052
1470,"Regarder passer les trains","Cyril Mokaiesh",168,8A,74,2025-10-03,04:13,20,"pop française, chanson, variété française, pop française indie","Regarder passer les trains",2025-09-18,65,6,0,70,0,10,-6,A Minor,4,1Lmufi10VKuJumsI9KV2NQ,FR35T2500001
