Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/artist/2924,,"Craig Armstrong,Lana Del Rey",Craig Armstrong,100,The Orchestral Score From Baz Luhrmann's Film The Great Gatsby,Garry Walker- BBC Symphony Orchestra,43,"As If To Nothing - Garry Walker- BBC Symphony Orchestra - It's Nearly Tomorrow - Nocturnes Remodelled (More Music from Glasgow, Berlin, Tokyo & London) - Nocturnes, Music For Two Pianos - Nocturnes_ Music for 2 Pianos (Deluxe) - Plunkett & Macleane - Rosa Morta - Sun On You - The Space Between Us - Un coup d'enfer",__Autres/Craig Armstrong/Garry Walker- BBC Symphony Orchestra,"Six feet under : bande originale de la série télévisée - D 69079 V.01, Le baiser mortel du dragon vol. 1 : Bande originale du film - D 16421 V.01, Back to mine : a chilled personal collection for after hours grooving - D 30995, Love actually : bande originale du film - 786.1 LOV 1, The space between us - D 57463, As if to nothing - D 40172, Piano works - D 41972"
https://play.qobuz.com/album/gzx7s8dglzjcc,,Thomas Newman,Thomas Newman,100,American Beauty (Soundtrack),La Dame de Fer - The Iron Lady,42,La Dame de Fer - The Iron Lady - Les Évadés - The Shawshank Redemption [Disc1] - Les Évadés - The Shawshank Redemption [Disc2] - Wall-E,__B.O/La Dame de Fer - The Iron Lady - Thomas Newman,"American beauty : Bande originale du film - 786.1 AME 1, Six feet under : bande originale de la série télévisée - D 69079 V.01, Café del mar : volumen ocho - D 41959 V.08, L'homme qui murmurait à l'oreille des chevaux : bande originale de film - D 60408, The green mile = La ligne verte : bande originale du film - D 25399"
https://play.qobuz.com/album/igvwnvpk3bk9b,D 53309 (En rayon),Didier Squiban,Deep Sea Diver,57,Bretagne,,0,,,"Ballades - 789.69 SQU 2, Porz gwenn : 18 variations pour piano - D 32191, Adarre - 789.69 SQUI 2, Rozbras : 12 images pour piano - D 08210, Symphonie du Ponant - 783.SQU 24"
,,Ballaké Sissoko & Vincent Segal,James Vincent McMorrow,55,Chamber Music,,0,,,
https://play.qobuz.com/artist/87829,,Ornella Vanoni,Arne Vinzon,64,Del Mio Meglio,,0,,,Ocean's twelve : bande originale du film - D 61539
https://play.qobuz.com/album/0077779464753,D 19640 (En rayon),Madredeus,Mareux,67,Existir,,0,,,"Os dias da Madredeus - D 13360, Euforia : 25 songs of Madredeus arranged for Symphonic Orchestra by Antonio Vitorino d'Almeida - D 19641, The spirit of lisbon : the very best of - D 70479, Um amor infinito : Lisboa 2004 - D 22873, O espirito da paz - D 18137, Faluas do tejo : Lisboa 2005 - D 18761, O paraíso : 14 cançoes - D 18760"
https://play.qobuz.com/artist/35245,D 01963 - Prêté (Retour prévu le : 30/05/2026),Cesária Evora,Cesária Évora,100,Best Of,Café Atlantico,29,Cabo Verde - Café Atlantico - Cesaria - Rogamar - São Vicente Di Longe - Voz D'Amor,__Autres/Cesária Évora/Café Atlantico,"Cesaria Evora & ... - D 35002, Cesaria - D 16646, Sodade Les plus belles mornas de Cesaria - 789.18 EVO 2"
https://play.qobuz.com/artist/412444,,"Karen O,Ezra Koenig",Karen O,100,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,Where The Wild Things Are Motion Pic,46,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,__Autres/Karen O/Where The Wild Things Are Motion Pic,"Femmes celtes = Celtic women - 789.7 A 082, Crush songs - D 46851"
https://play.qobuz.com/artist/412444,,Karen O,Karen O,100,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,Where The Wild Things Are Motion Pic,46,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,__Autres/Karen O/Where The Wild Things Are Motion Pic,"Femmes celtes = Celtic women - 789.7 A 082, Crush songs - D 46851"
https://play.qobuz.com/artist/515803,,"Scarlett Johansson,Joaquin Phoenix",Scarlett Rose,71,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,,0,,,Anywhere I lay my head - D 41993
