Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/artist/1147092,,Fakear,ear,67,Skyline,,0,,,"Hypertalisman - 784.FAK 221 - Prêté, Talisman - 784.FAK 221, All glows - D 65734, Sauvage - 784.FAK 51"
https://play.qobuz.com/album/oq0xbu3g4it6a,784.FAK 51 - D 48960 (En rayon - En rayon),"Fakear,Deva Premal",ear,67,Sauvage,,0,,,"Hypertalisman - 784.FAK 221 - Prêté, Everything will grow again - 784.FAK 221, Talisman - 784.FAK 221, All glows - D 65734"
https://play.qobuz.com/album/ktaqo331ji5qa,,Caspian Pool,Polo & Pan,70,Hot,,0,,,
https://play.qobuz.com/album/lrtv6melozjoc,,Où sont les filles ?,Airelle Besson,62,Mon Bain,,0,,,"Les filles sont des garçons bizarres ! - D 05965, Mink'a : chants de la terre et de la jeunesse : Pérou (Cuzco - Chinchero) - D 43211"
https://play.qobuz.com/album/0886444513722,,Sixtine,Gitkin,62,Sweet Sixteen,,0,,,Peste of ! - D 08094
https://play.qobuz.com/artist/2115781,,Made in Taiwan,Talia Rae,61,Plastic Lights,,0,,,"Musique et cinéma du monde : Asie : Hong Kong, Taiwan : extraits de bandes originales de films - D 33624"
https://play.qobuz.com/album/r81ecqn4oed0b,,Le Couleur,Julien Clerc,64,Voyage Love EP,,0,,,"Les couleurs : mélange, assemble et apprends à connaître les couleurs - D 45249, Rythmes en couleurs - D 00381"
https://play.qobuz.com/album/5099963346251,D 58359 (En rayon),Mickey 3d,Mel D,57,Live À Saint-Etienne,,0,,,"Mickey 3d - D 27876, Imaginary songs : a tribute to The Cure - D 33353, La trêve - D 56030, Mistigri torture - D 45700, La grande évasion - D 39763, Tu vas pas mourir de rire - D 27877, Live à Saint-Etienne - D 58359"
https://play.qobuz.com/album/0190295945121,D 72430 (En rayon),"Synapson,Anna Kova",Sabaton,53,Convergence,,0,,,"Blue jeans - 784.SYN 8 - Prêté, Super 8 - 784.SYN 8"
https://play.qobuz.com/album/0190295945121,D 72430 (En rayon),"Synapson,Jacinthe",Sabaton,53,Convergence,,0,,,"Blue jeans - 784.SYN 8 - Prêté, Super 8 - 784.SYN 8"
https://play.qobuz.com/artist/108700,,Breakbot,Breakbot,100,Electro Shock 4,Still Waters,30,Still Waters,__Autres/Breakbot/Still Waters,"Edges : a new french electronic generation - D 35543, By your side - D 50050"
https://play.qobuz.com/album/3760063730524,D 65169 (En rayon),Les Hurlements d'Léo,Little Element,59,13 ans de caravaning,,0,,,"Les Hurlements d'Léo chantent Mano Solo - D 54883, Dellys bar french rock sessions - D 24200, Ouest terne - D 27819, Live - D 19662, Temps suspendu - D 44169"
https://play.qobuz.com/album/eyvuqj1d15usa,,Marcel et son Orchestre,Orchestre Tout Puissant Marcel Duchamp,66,Crâne pas t'es chauve,,0,,,
https://play.qobuz.com/artist/36834,D 44543 (En rayon),Daphné,Daphni,83,Treize chansons de Barbara,,0,,,"Daphne : Tragédie bucolique en un acte : op. 82 - D 41140, Cantates françaises - D 28621, Bleu Venise - D 37028, La fauve - D 51287"
https://play.qobuz.com/album/3298499025728,D 51287 (En rayon),Daphné,Daphni,83,La Fauve,,0,,,"Daphne : Tragédie bucolique en un acte : op. 82 - D 41140, Cantates françaises - D 28621, Bleu Venise - D 37028, Treize chansons de Barbara - D 44543"
https://play.qobuz.com/artist/830858,,Her,Her,100,Five Minutes,Her Tape #2,36,Her - Her Tape #2,__Autres/Her/Her Tape #2,Her - D 65085
https://play.qobuz.com/album/0060254722104,,Eileen,Emilie Zoé,62,Salut les copains,,0,,,
https://play.qobuz.com/artist/39293,,Enrico Macias,Mac DeMarco,67,Le meilleur d'Enrico Macias,,0,,,"Enrico Macias & Al Orchestra - 788.MAC 69 2, Mémoires d'immigrés : l'héritage maghrébin - D 16994, Venez tous mes amis ! - D 56186, Les clefs - D 69759, Oranges amères - D 14935"
https://play.qobuz.com/album/0060249829791,,Hervé Vilard,Les Vilars,64,Les 50 Plus Belles Chansons,,0,,,"Salut les copains - 788.VIL 5 - Prêté, Il reviendra le très joli bâteau Monsieur Yamamoto Le dernier voyageur Chante avec moi Comme tu es jeune Ne te marie pas Sophie Je reviens te chercher Fais-la rire Mourir ou vivre Ped... - D 30429, Radio 70 - D 41976, Vingt ans : vingt succès - D 28028, Leur premier succes : vol. 1 - D 49486"
