Artist,Album
Brigitte Bardot,Brigitte Bardot Show 67
Brigitte Bardot,Bubble Gum
Brigitte Bardot,Master Serie 2CD
Brigitte Fontaine,Brigitte Fontaine est...
Brigitte Fontaine,Kekeland
Brigitte Fontaine,Prohibition
"Brigitte Fontaine,-M-",Kekeland
Brodinski,Arnold Classics
Bruno Pelletier,Notre Dame de Paris - Live au Palais des Congrés 1998
Buridane,Comme avant
Buridane,Pas fragile
Bénabar et associés,La p'tite monnaie
C. Jérôme,Baby Boy
C. Jérôme,CD Story
CHATON,MINUTE
Cabadzi,Cabadzi x Blier
Caloé,Un amour impossible (Original Motion Picture Soundtrack)
Camille,Ilo Veyou
Camille,Le sac des filles
Camille,OUÏ
Camping Sauvach,Petit Monde
Camélia Jordana,Camelia Jordana
Canari,Désamorceur
"Caribou,Luke Lalonde,Adem And One Little Plane",Melody Day (Four Tet Remix)
Carlos,La fête avec Carlos
Carlos,tout nu tout bronze
Caroline Verdi,Vive les années 70 (Tout le bonheur des 70's)
Caspian Pool,Hot
Catastrophe,GONG!
Cerrone,"Cerrone I, II, III"
Charlelie Couture,Poemes Rock
Charles Aznavour,Entre deux rêves (Remastered 2014)
Charles Trenet,20 chansons d'or
Charles Trenet,Disque D'or
"Charles Trenet,Johnny Hess",Sur Le Yang Tse Kiang
Charlotte Adigéry,Charlotte Adigéry
Charlotte Fever,Charlotte Fever
Charlotte Fever,La Carioca
Charlotte Gainsbourg,5:55 (Nouvelle Edition)
Charlotte Leslie,"Wizzz French Psychorama (1966-1971), Vol. 1"
Charlotte Marin,Trentenaire A Vif
Charlotte Rampling,De l'amour mais quelle drôle d'idée
"Chilla,Sofiane Pamart",EGO
Chloé Stafler,Reprises
Chocolat,Jazz engagé
Choses Sauvages,Choses Sauvages
"Christian Olivier,Yolande Moreau",Prévert
Christine and the Queens,Chaleur Humaine
Christophe,Best of (Collector)
Christophe Rippert,Un amour de vacances
Clair,La Maison Magique
Clair,Saint-Gilles-Croix-de-Vie
Clara Ysé,Douce
Clara Ysé,OCEANO NOX
Claude Barzotti,Le Rital
Claude Barzotti,Le rital
Claude Barzotti,Souvent je pense a vous Madame
Claudine Longet,Claudine
Clea Vincent,Gens de la nuit
Clea Vincent,Non mais oui
Clea Vincent,Tropi-Cléa 3
Clea Vincent,Tropi-cléa
Clea Vincent,Xela
"Clea Vincent,Baptiste W. Hamon","Non mais oui, vol. 2"
