Artist,Album
Patrick Coutin,J'aime regarder les filles
"Patrick Topaloff,SiM",Où est ma ch'mise grise
"Patrick Watson,Solann",Ça va
"Paul Dukas,Orchestre Symphonique de Montréal,Kent Nagano",Danse Macabre
Pauline Croze,Un bruit qui court
Pep's,Suivez le flo
Petula Clark,C'est Ma Chanson
Phanee de Pool,Bâton vanille
Philippe B,"Ornithologie, la nuit"
Philippe Chany & Les Nuls,Les Nuls - La Cité de la Peur (Une comédie familiale)
Philippe Katerine,Philippe Katerine
Phosphorescent,C’est La Vie
Piedbois,L'aube avec La nuit
Pierre Barouh,"Ça va, ça vient"
Pierre Chêne,L'oiseau et la bulle
Pierre Perret,L'âge de pierre
Pierre Perret,Tonton Cristobal
"Pierre Perret,Les Ogres De Barback,Magyd Cherfi,Didier Wampas,Idir,Massilia Sound System,Tryo,Olivia Ruiz,Mouss Et Hakim,François Morel,Danyèl Waro,Rosemary Standley,Loïc Lantoine,Féfé,Christian Olivier,Benoît Morel,Alexis HK,Flavia Coelho",La tribu de Pierre Perret au café du canal
Pierre Vassiliu,Tendres Annees
Pigalle,Pigalle
Pink Martini,Dream a Little Dream
Pink Martini,Sympathique
Pogo Car Crash Control,Don't Get Sore
"Pomme,Flavien Berger",les failles cachées (halloween version)
Pomplamoose,Angélique (nouvelle version)
Poney Express,Daisy Street
Pony Pony Run Run,Hey You
Poupie,Fable
Pow Wow,Regagner Les Plaines
Prudence,Beginnings
"Putumayo,Cesar,Eva de Marce",World Love Songs by Putumayo
"Putumayo,Feathership,Laurence-Anne",Café du Monde by Putumayo
"Pv Nova,Marianne,Curieux",bad guy
Pépite,Reste avec moi
Pépite,Sensations
ROZA,Système ouvert
Rachid Taha,Je suis africain
Radio Elvis,Les Conquêtes
Rau_Ze,Virer nos vies
Ray Ventura Et Ses Collégiens,"Tout va très bien, Madame la Marquise"
Rebeka Warrior,SPLIT (Bande originale de la série)
"Rebeka Warrior,Flavien Berger",À reculons (Rebeka Warrior Remix)
"Refuge,Thx4Crying,Pi Ja Ma",Lava (Afterlife)
Regine,Gainsbourg Fait Chanter Régine
Renard Tortue,Jamais d'accord
Renard Tortue,L'invisible
Renard Tortue,Pakomifo
Renard Tortue,Tic-Tac
Richard Anthony,Chanson d'amour
Richard Anthony,Les plus grandes chansons
Richard Anthony,tous ses succes
"Richard De Bordeaux,Daniel Beretta","Wizzz French Psychorama (1966-1971), Vol. 1"
Richard Gotainer,Saperlipopette (or not Saperlipopette)
Rika Zaraï,100 Tubes années 80 spécial variétés françaises
Rika Zaraï,"Age tendre... La tournée des idoles, Vol. 2: La magie des années 60-70"
Rika Zaraï,Oriental
Rocé,Identité en crescendo
Rodolphe Burger,Environs
"Rodolphe Burger,Bertrand Belin",Environs
"Rodolphe Burger,Christophe,Philippe Poirier",Environs
Romain Muller,Parallèle
Romare,Love Songs: Part Two
Rouquine,Mammifère
SOLEIL ROUGE,Viens chez moi
Sainte Nicole,Vanité
Salvatore Adamo,Les N°1
Sam Sauvage,Sam Sauvage
Sammy Decoster,Sortie 21
Samson,Trait pour trait
Sanseverino,Le Tango Des Gens
Sardè Philippe,Cesar et Rosalie
Satellite Jockey,Le week-end
Saâne,Des fleurs au bout des doigts
Saône,Te Amo
Serge Gainsbourg,Du chant à la une !
Serge Gainsbourg,Initials B.B.
Serge Gainsbourg,L'Essentiel Des Albums Studio
Serge Gainsbourg,L'album de sa vie
Serge Gainsbourg,N°4
"Serge Gainsbourg,Jane Birkin",Comic Strip
Serge Reggiani,Et puis
"Sexy Sushi,Rebeka Warrior,Mitch Silver",Mauvaise foi
Shaga,Eros
Sheila,Sheila (Compilation 2006)
Sheila,Écoute ce disque
Simone Ringer,DANCE
Sinsémilia,Debout Les Yeux Ouverts
Sixtine,Sweet Sixteen
Skip the Use,Can Be Late
Soan,Sens interdits
Soan,Tant pis
Soklak,1977
Souleance,P'ti Sega
St Graal,Le cœur qui cogne
St Graal,Les histoires d'amour de St Graal
Stacey Kent,Raconte-Moi
Stars en scène,"Les plus grandes comédies musicales, Vol. 3"
Stereo Total,Paris <> Berlin
"Sterling Grove,MUNYA",Parallel Lines
Stéfi Celma,Du love et de l'eau
Stéphanie Blanchoud,Les Beaux Jours
Suarez,L'Indécideur
Superbus,Pop'n'Gum
Superbus,Wow
"Suprême NTM,Lord Kossity",Suprême NTM
"Sylvain Duthu,MPL",15h22
Sylvie Vartan,Comme un garçon
"Sylvie Vartan,Frankie Jordan",Le locomotion
"Synapson,Anna Kova",Convergence
"Synapson,Jacinthe",Convergence
"Synapson,Tim Dup,Lass",Global Musique vol.1
SÜEÜR,ANANKÉ
Sébastien Tellier,Narco
Séverin,Nouveaux dinosaures
Séverin,Transatlantique
"TOMASI,Ian Caulfield",Branleur
"TOMASI,Yoa",Adulescent Fluorescent
TRENTE,#1 CARNETS
TRENTE,Confinée
Talk Talk,It's My Life
Tallisker,DÉSIR
Tarmac,Notre Epoque
Terrenoire,Les Forces Contraires
Tessa B. ,(Re)commencement
The Architect,Une plage sur la lune
The Doug,Mauvais Joueur
The Limiñanas,I've Got Trouble In Mind Vol. 2 (Rare Stuff 2015/2018)
"The Limiñanas,Nuria",Electrified (Best-of 2009 - 2022)
The Pirouettes,Carrément carrément
The Rebels Of Tijuana,Asile
The Shoes,Time to Dance
The Toxic Avenger,Angst
TheFrenchKris,Garçon de mon âge
Theodora,Too Much for One Heart
"Theodora,Chilly Gonzales",MEGA BBL
Thibaut,Armes & Paillettes
Thierry Pastor,Tubes Années 80 - Spécial Variété Française by Hotmixradio
"This Is The Kit,Mina Tindle",Off Off Oddities
Thomas Dutronc,Comme Un Manouche Sans Guitare
Thomas Fersen,Le pavillon des fous
Thomas Fersen,Pièce montée des grands jours
Thomas Fersen,Qu4tre
Thousand,Le tunnel végétal
Tim Dup,La course folle
Tim Dup,Les immortelles
Tim Dup,Mélancolie heureuse - Nouvelle impression
Tim Dup,Qu'en restera-t-il ?
"Tim Dup,Laura Cahen",Le printemps
Timothée Joly,International : 1 + 138
Tiphanie Doucet,Re-Imagine-D#2
Tryo,Grain De Sable
Tryo,Mamagubida
"Tryo,Les Ogres De Barback",La pittoresque histoire de Pitt Ocha
Tété,À la faveur de l'automne
Têtes Raides,L'an demain
Ultramoderne,Laperformanceestvulgaire
Universal Production Music,Sexy Rouge (as featured in  Sky Rojo ) (Remix) (Original TV Series Soundtrack)
UssaR,Étendues
"VD,Bleue",Embrasse moi
VONFELT,VONFELT
"Vendredi sur Mer,Sofiane Pamart",Arrêter le temps (feat. Sofiane Pamart)
Vermeil,si je ne suis pas
Victorine,La rentrée - EP
Vieux,100 jours
Vieux Farka Touré,Les Racines
"Vincent Courtois,Pomme",Ernest et Célestine : le voyage en Charabie (Bande originale du film)
Vitalic,Flashmob
Vladimir Cosma,La chèvre (Bande originale du film de Francis Veber)
Vollmun,Me Revoilà
Vous n'Avez Pas d'Avis,d'Ormesson Interlude
Voyou,Le confort
Véronique Sanson,De l'autre côté de mon rêve (Remasterisé en 2008)
Véronique Sanson,Les moments importants - Best of Véronique Sanson
Weekend Affair,Du rivage
"Whisper,disiz",Après le Chaos
White Velvet,Encore à contre courant
Willows,Maison vent
"Woodkid,Louis Garrel",L'aérogramme de Los Angeles
Worakls,Club St Tropez 2014
Worakls,Flocon de Neige
Yael Naim,How Will I Know
Yael Naim,Unreleased Nightsongs
"Yamê,COLORS",Bécane - A COLORS SHOW
Ycare,La Somone
Ycare,Sors
Yelle,Pop-Up
Yelli Yelli,La violence est mécanique
Yoa,bootycall
Yodelice,What's The Cure?
"Youssef Swatt's,Colt",Pour que les étoiles brillent
Ysé,Pour ce qui nous attend de mieux
Yuksek,Away From The Sea (Version Japonaise)
Yuksek,Living On The Edge Of Time
Yurz,Slow Motion
Yves Duteil,J'ai la guitare qui me démange
Yves Duteil,La langue de chez nous
Yves Duteil,Respect
Yves Montand,C'est si bon + 49 succès de Yves Montand (Chanson française)
Yves Montand,La Chansonnette
Yves Montand,Le Paris De ... Montand
Yves Montand,Yves Montand
Yves Simon,Raconte-Toi
Zambla,Zambla
Zanini,"Tu Veux, Tu Veux Pas"
Zaz,Sains et saufs
Zazie,La Zizanie
Zazie,Zen
Zazie,Zest Of
"Zazie,AaRON",Za7ie Intégrale
Zouzou,L'Intégrale
Zélie,Amour démoniaque
Zélie,JE NE SERAI JAMAIS.
Zélie,un million de petits chocs
candeur cyclone,teenage dirtbag
chien noir,Histoire vraie
chien noir,Histoires vraies
chien noir,Lumière bleue
citron citron,Chagrin Bleu
disiz,ton ventre
"disiz,Theodora",melodrama
"eben,Niro,Fonky Family,Abou,Akhenaton,Chien De Paille,The Insomniak,Driver,KDD,L'Ame du Raswar,Ménélik,Mystik,Prodige Namor,Sinistre,Soldafada,Yazid,White & Spirit",16'30 Contre la censure
jean,C'est quand même bizarre
mona guba,Un Bon Moment (freestyle)
nous étions une armée,mais le ciel est sublime
Ève,Medusa
