Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
Joe Dassin,Joe Dassin,100,Les Femmes De Ma Vie,Les Deux Mondes De Joe Dassin (1967),49,Best Of L'Album Souvenir [Disc1] - Best Of L'Album Souvenir [Disc2] - Best Of L'Album Souvenir [Disc3] - Les Deux Mondes De Joe Dassin (1967),/mnt/m/musiques/__Autres/Joe Dassin/Les Deux Mondes De Joe Dassin (1967)
"Daniel Balavoine,Nanette Workman",Daniel Balavoine,100,Starmania (Original Cast Recording) [Remastered in 2009],Bonus Tracks [2010 Issue],38,Bonus Tracks [2010 Issue] - De Vous À Elle En Passant Par Moi - Face Amour Face Amère - Intégrale des Albums Studio (Edition 25è anniversaire) - Le Chanteur - Loin Des Yeux De L'Occident - Sauver L'amour - Un Autre Monde - Vendeurs De Larmes,/mnt/m/musiques/__Autres/Daniel Balavoine/Bonus Tracks [2010 Issue]
Julien Clerc,Julien Clerc,100,Inédits 68-97,100 Chansons - 1969-1972 [Disc 1],40,"100 Chansons - 1969-1972 [Disc 1] - 100 Chansons - 1980-1990 [Disc 3] - 100 Chansons - 1992-2005 [Disc 4] - 100 Chansons - Live Olympia 1970 [Disc 5] - 100 chansons - 1973-1979 [Disc 2] - Aime Moi - Des Jours Entiers À T'aimer - Femmes, Indiscrétion, Blasphème - Fou, Peut-Être - Jaloux - Julien - Julien Clerc - Les Incontournables - Liberté, Égalité, Fraternité... Ou La Mort - Niagara - Terre De France - This Melody - Utile",/mnt/m/musiques/__Autres/Julien Clerc/100 Chansons - 1969-1972 [Disc 1]
Julien Clerc,Julien Clerc,100,Je t'aime etc,Des Jours Entiers À T'aimer,55,"100 Chansons - 1969-1972 [Disc 1] - 100 Chansons - 1980-1990 [Disc 3] - 100 Chansons - 1992-2005 [Disc 4] - 100 Chansons - Live Olympia 1970 [Disc 5] - 100 chansons - 1973-1979 [Disc 2] - Aime Moi - Des Jours Entiers À T'aimer - Femmes, Indiscrétion, Blasphème - Fou, Peut-Être - Jaloux - Julien - Julien Clerc - Les Incontournables - Liberté, Égalité, Fraternité... Ou La Mort - Niagara - Terre De France - This Melody - Utile",/mnt/m/musiques/__Autres/Julien Clerc/Des Jours Entiers À T'aimer
Marc Lavoine,Marc Lavoine,100,Best Of 85-95,Je Reviens À Toi,41,...Les Amours Du Dimanche… - 7e Ciel - Adulte jamais - Faux Rêveur - Je Descends Du Singe - Je Reviens À Toi - Lavoine Matic - Les Duos De Marc - Morceaux D'amour [Disc 1] - Morceaux D'amour [Disc 2] - Morceaux D'amour [Disc 3] - Paris - Volume 10,/mnt/m/musiques/__Autres/Marc Lavoine/Je Reviens À Toi
Marc Lavoine,Marc Lavoine,100,L'Heure D'Eté,Je Descends Du Singe,42,...Les Amours Du Dimanche… - 7e Ciel - Adulte jamais - Faux Rêveur - Je Descends Du Singe - Je Reviens À Toi - Lavoine Matic - Les Duos De Marc - Morceaux D'amour [Disc 1] - Morceaux D'amour [Disc 2] - Morceaux D'amour [Disc 3] - Paris - Volume 10,/mnt/m/musiques/__Autres/Marc Lavoine/Je Descends Du Singe
Joe Dassin,Joe Dassin,100,Joe Dassin Éternel...,Les Deux Mondes De Joe Dassin (1967),60,Best Of L'Album Souvenir [Disc1] - Best Of L'Album Souvenir [Disc2] - Best Of L'Album Souvenir [Disc3] - Les Deux Mondes De Joe Dassin (1967),/mnt/m/musiques/__Autres/Joe Dassin/Les Deux Mondes De Joe Dassin (1967)
C. Jérôme,Jérôme Echenoz,73,Baby Boy,,0,,
Gerard Depardieu,Gérard Calvi,64,Depardieu Chante Barbara,,0,,
Voyou,Voyou,100,Le confort,Chroniques terrestres (Vol.1),39,Chroniques terrestres (Vol.1) - Les Royaumes Minuscules - Les bruits de la ville (Edition deluxe),/mnt/m/musiques/__Autres/Voyou/Chroniques terrestres (Vol.1)
