Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
"Craig Armstrong,Cecilia Weston",Craig Armstrong,100,If You Should Fall,Sun On You,50,"As If To Nothing - Garry Walker- BBC Symphony Orchestra - It's Nearly Tomorrow - Nocturnes Remodelled (More Music from Glasgow, Berlin, Tokyo & London) - Nocturnes, Music For Two Pianos - Nocturnes_ Music for 2 Pianos (Deluxe) - Plunkett & Macleane - Rosa Morta - Sun On You - The Space Between Us - Un coup d'enfer",/mnt/m/musiques/__Autres/Craig Armstrong/Sun On You
Rachel Portman,Rachel Portman,100,Chocolat (Original Motion Picture Soundtrack),Beyond the Screen - Film Works on Piano,18,Beyond the Screen - Film Works on Piano,/mnt/m/musiques/__Autres/Rachel Portman/Beyond the Screen - Film Works on Piano
Cliff Martinez,Cliff Martinez,100,Far Cry 4 (Original Game Soundtrack),Solaris,25,Drive - Only God Forgives - Solaris - The Knick - The Neon Demon - Too Old to Die Young [Disc1] - Too Old to Die Young [Disc2],/mnt/m/musiques/__Autres/Cliff Martinez/Solaris
Jonny Greenwood,Jonathan Bree,57,Phantom Thread (Original Motion Picture Soundtrack),,0,,
"Jóhann Jóhannsson,Air Lyndhurst String Orchestra,Anthony Weeden",Johann Johannsson,100,Orphée,The Mercy,40,Fordlândia - Jóhann Jóhannsson _ Orphée - Arrival - Arrival - Premier Contact - Englabörn - Mandy  Original Motion Picture Soundtrack - The Mercy - The Miners’ Hymns - The Theory of Everything,
Angelo Badalamenti,Angelo Badalamenti,100,Soundtrack From Twin Peaks,Twin Peaks,56,Twin Peaks,/mnt/m/musiques/__B.O/Twin Peaks - Angelo Badalamenti
"Harry Gregson-Williams,John Powell",John Williams,63,Shrek (Original Motion Picture Score),,0,,
"Craig Armstrong,Lana Del Rey",Craig Armstrong,100,The Orchestral Score From Baz Luhrmann's Film The Great Gatsby,Garry Walker- BBC Symphony Orchestra,43,"As If To Nothing - Garry Walker- BBC Symphony Orchestra - It's Nearly Tomorrow - Nocturnes Remodelled (More Music from Glasgow, Berlin, Tokyo & London) - Nocturnes, Music For Two Pianos - Nocturnes_ Music for 2 Pianos (Deluxe) - Plunkett & Macleane - Rosa Morta - Sun On You - The Space Between Us - Un coup d'enfer",/mnt/m/musiques/__Autres/Craig Armstrong/Garry Walker- BBC Symphony Orchestra
Thomas Newman,Thomas Newman,100,American Beauty (Soundtrack),La Dame de Fer - The Iron Lady,42,La Dame de Fer - The Iron Lady - Les Évadés - The Shawshank Redemption [Disc1] - Les Évadés - The Shawshank Redemption [Disc2] - Wall-E,/mnt/m/musiques/__B.O/La Dame de Fer - The Iron Lady - Thomas Newman
Didier Squiban,Deep Sea Diver,57,Bretagne,,0,,
Ballaké Sissoko & Vincent Segal,James Vincent McMorrow,55,Chamber Music,,0,,
Ornella Vanoni,Arne Vinzon,64,Del Mio Meglio,,0,,
Madredeus,Mareux,67,Existir,,0,,
Cesária Evora,Cesária Évora,100,Best Of,Café Atlantico,29,Cabo Verde - Café Atlantico - Cesaria - Rogamar - São Vicente Di Longe - Voz D'Amor,/mnt/m/musiques/__Autres/Cesária Évora/Café Atlantico
"Karen O,Ezra Koenig",Karen O,100,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,Where The Wild Things Are Motion Pic,46,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,/mnt/m/musiques/__Autres/Karen O/Where The Wild Things Are Motion Pic
Karen O,Karen O,100,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,Where The Wild Things Are Motion Pic,46,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,/mnt/m/musiques/__Autres/Karen O/Where The Wild Things Are Motion Pic
"Scarlett Johansson,Joaquin Phoenix",Scarlett Rose,71,The Moon Song (Music From And Inspired By The Motion Picture Her) - Single,,0,,
Elisa,LISZA,80,L'anima vola (Deluxe Edition),,0,,
Aldous Harding,Curtis Harding,71,Party,,0,,
Albert Hammond Jr,Damon Albarn,62,Como Te Llama?,,0,,
daigoro789,Dario Moreno,55,The Very Best of Yann Tiersen for Piano Solo,,0,,
Scala & Kolacny Brothers,Lowland Brothers,68,On The Rocks,,0,,
"Blondie,Philip Glass,Jonas Crabtree",Le Blonde,75,Heart Of Glass (Crabtree Remix),,0,,
Etta James,Etta Marcus,67,All The Way,,0,,
"Miloš Karadaglić,Studioorchester der Europäischen FilmPhilharmonie,Christoph Israel",Miles Davis,59,Latino,,0,,
"Eydie Gormé,Los Panchos",Elie Zoé,63,Canta En Español Con Los Panchos,,0,,
Tom Rosenthal,Thomas Roussel,67,The Pleasant Trees,,0,,
Tommy Guerrero,Thomas Guerlet,64,Perpetuum,,0,,
"Thomas Enhco,Vassilena Serafimova",Thomas Feiner,72,Funambules,,0,,
"James Last,Gheorghe Zamfir",Las Aves,78,Meisterstücke,,0,,
Pink Martini,Ariel Pink,73,Dream a Little Dream,,0,,
Moondog,Moondog,100,In Europe,Moondog,25,Moondog - Sax Pax For A Sax,/mnt/m/musiques/__Autres/Moondog/Moondog
Yodelice,Yodelice,100,Rock'N'Roll (Bande originale du film),Tree Of Life,35,Cardioid - EP Live Pilot - Square Eyes - Tree Of Life,/mnt/m/musiques/__Autres/Yodelice/Tree Of Life
Balanescu Quartet,Balanescu Quartet,100,This Is The Balanescu Quartet,Maria T (Reissue),28,Maria T (Reissue) - Possessed,/mnt/m/musiques/__Autres/Balanescu Quartet/Maria T (Reissue)
Danny Elfman,Danny Elfman,100,Batman (Original Motion Picture Score),Mars Attacks!,44,Alice au pays des merveilles - Big Fish - Edward aux mains d'argent - Edward Scissorhands - Hitchcock - L’Étrange Noël de Monsieur Jack - Mars Attacks! - Men in Black II - Spider‐Man 2,/mnt/m/musiques/__B.O/Mars Attacks! - Danny Elfman
Danny Elfman,Danny Elfman,100,Tim Burton's Corpse Bride Original Motion Picture Soundtrack (U.S. Release),L’Étrange Noël de Monsieur Jack,35,Alice au pays des merveilles - Big Fish - Edward aux mains d'argent - Edward Scissorhands - Hitchcock - L’Étrange Noël de Monsieur Jack - Mars Attacks! - Men in Black II - Spider‐Man 2,/mnt/m/musiques/__B.O/L’Étrange Noël de Monsieur Jack - Danny Elfman
Anchorsong,Corona,62,Ceremonial,,0,,
The Budos Band,The Bamboos,72,The Budos Band II,,0,,
"Wolfgang Amadeus Mozart,Berliner Philharmoniker,Claudio Abbado,Swedish Radio Choir,Kay Johannsen",Wolfgang Tillmans,60,Mozart: Requiem,,0,,
"Michel Legrand,Gheorghe Zamfir,Harry van Hoof",Michel Legrand,100,The Lonely Shepherd,Michel Legrand - Hier & demain,44,"Legrand (re)imagined - Les Demoiselles De Rochefort - Les Demoiselles De Rochefort [Disc1] - Les Demoiselles De Rochefort [Disc2] - Les demoiselles de Rochefort - Intégrale 50éme anniversaire [Disc4] - Les demoiselles de Rochefort - Intégrale 50éme anniversaire [Disc5] - Michel Legrand - Hier & demain - The Young Girls Of Rochefort (N°5) [D] - [Disc 10] Michel Legrand Les Moulins De Son Cœur - Spectacles Musicaux 1965-92 - [Disc 11] Michel Legrand Les Moulins De Son Cœur - Dessins Animés 1971-82 - [Disc 12] Anthology 13 Hommage à Alain Delon - Tribute to Alain Delon - [Disc 13] Les Moulins De Son Cœur- Jean-Paul Rappeneau - 1965-1975 - [Disc 14] Sarah Vaughan-Phil Woods, Michel Legrand - [Disc 15] Stéphane Grappelli & Michel Legrand - [Disc 16] Michel Legrand Les Moulins De Son Cœur - Legrand Cinéma-The Concert Legrand 1967-75 - [Disc 17] Michel Legrand Les Moulins De Son Cœur - Ouvrages Symphoniques 1981-2017 - [Disc 18] Michel Legrand Les Moulins De Son Cœur - Famous, Rare Or Previously Unreleased Soundtracks (I) 1968-90 - [Disc 19] Michel Legrand Les Moulins De Son Cœur - Famous, Rare Or Previously Unreleased Soundtracks (II) 1974-2018 - [Disc 1] Les Moulins De Son Coeur- Jazz - [Disc 20] Michel Legrand Les Moulins De Son Cœur - Rare And Curious Pieces 1956-2002 [Disc 20] - [Disc 2] Michel Legrand Les Moulins De Son Cœur - Vocal I 1964-65 - [Disc 3] Michel Legrand Les Moulins De Son Cœur - Vocal II 1969-81 - [Disc 4] Les Moulins De Son Coeur- Nouvelle Vague - [Disc 5] Michel Legrand Anthology- 07 Jacques Demy & Michel Legrand 1960-1988 - [Disc 6] Les Moulins De Son Cœur- Hommage À Steeve McQueen -1960-80 - [Disc 7] Michel Legrand Les Moulins De Son Cœur - Deux Saxophonistes- Stan Gets & Bud Shank 1969-1971 - [Disc 8] Michel Legrand Les Moulins De Son Cœur - Interprètes Francophones 1962-2015 - [Disc 9] Michel Legrand Les Moulins De Son Cœur - Interprètes Internationaux 1958-2011",/mnt/m/musiques/__Autres/Michel Legrand/Michel Legrand - Hier & demain
"Final Space,Shelby Lynn Merry",Palace,59,When the Night Is Long (From  Final Space ),,0,,
Shelby Merry,Mercury Rev,61,When the Darkness Comes,,0,,
Aldous Harding,Curtis Harding,71,Aldous Harding,,0,,
"Astor Piazzolla,Koop",bar italia,56,Astor Piazzolla Remixed,,0,,
Andrew VanWyngarden,Chad VanGaalen,61,Resistance Radio: The Man in the High Castle Album,,0,,
April Stevens,Steven Price,80,Teach Me Tiger!,,0,,
DeVotchKa,Devotchka,100,Fox Searchlight: 20th Anniversary Album,This Night Falls Forever,39,100 Lovers - How It Ends - Little Miss Sunshine - DeVotchKa - This Night Falls Forever - Una Volta,/mnt/m/musiques/__Autres/Devotchka/This Night Falls Forever
Tchan-Tchou Vidal,Ecran Total,57,La gitane (Gypsy Jazz manouche),,0,,
Murray Head,"Ray Lema, Laurent De Wilde",63,Say It Ain't So (Remastered 2017),,0,,
Lino Cannavacciuolo,Wooli & Calcium,56,Ca'na',,0,,
Mazowsze,Mazoni,57,The Polish Song and Dance Ensemble Vol. 1,,0,,
Shigeru Umebayashi,Sébastien Schuller,56,Yumeji's Theme (Original Motion Picture Soundtrack),,0,,
"Alessandra Celletti,Marcello Piccinini",Cassandra Violet,69,Erik Satie: Gnossienne N° 1 (Drums & Piano Duet),,0,,
The Hollywood LA Soundtrack Orchestra,Hollywood Pictures Orchestra,71,Moviehits,,0,,
Dave Thomas,Thomas Azier,78,Waking Dream,,0,,
"Vladimir Martynov,Kronos Quartet",Vladimir Cosma,71,Music of Vladimir Martynov,,0,,
Hans Zimmer,Hans Zimmer,100,True Romance (Original Motion Picture Score),La Ligne Rouge,54,Angels & Demons - Da Vinci Code - Dune - Dunkirk - Hans Zimmer The Milan Year - Inception - Interstellar - La Ligne Rouge - Le Dernier Samurai - Le Roi Lion - Sherlock Holmes - Sherlock Holmes - A Game Of Shadows - The Dark Knight Rises - The Thin Red Line - XMen - Dark Phoenix,/mnt/m/musiques/__B.O/La Ligne Rouge - Hans Zimmer
Kris de Bruyne,Vernis Rouge,62,30 Jaar Zwervend Bestaan,,0,,
"Pascal Rogé,Starkey",Calypso Rose,61,Satie: Gnossienne No.1 (Starkey Remix),,0,,
Chris Isaak,Susan Christie,64,Best of Chris Isaak (Remastered),,0,,
Berlin,Bel,67,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),,0,,
Hang Massive,Massive Attack,69,Beats for Your Feet,,0,,
Bibio,Bibio,100,Ambivalence Avenue,Ribbons,16,Ribbons,/mnt/m/musiques/__Autres/Bibio/Ribbons
George Duke,Georges Delerue,77,Master Of The Game,,0,,
Band of Horses,Band Of Horses,100,Everything All The Time,Cease To Begin,38,Cease To Begin - Infinite Arms - Mirage Rock,/mnt/m/musiques/__Autres/Band Of Horses/Cease To Begin
François de Roubaix,Francois De Roubaix,100,La scoumoune (Soundtrack),Le Monde Electronique De Francois De Roubaix (BOF),29,Dernier Domicile Connu Et Autres Films (Le Rapace - Un Aller Simple) - L'Essentiel De François De Roubaix - Le Monde Electronique De Francois De Roubaix (BOF) - Les Plus Belles Musiques De Films De François De Roubaix - Vol.2,/mnt/m/musiques/__Autres/Francois De Roubaix/Le Monde Electronique De Francois De Roubaix (BOF)
Tom McRae,Tom McRae,100,Kenzo Parfums Songs,King Of Cards,38,All Maps Welcome - Did I Sleep and Miss the Border - - Just Like Blood - King Of Cards - The Alphabet Of Hurricanes - Tom McRae,/mnt/m/musiques/__Autres/Tom McRae/King Of Cards
Barry Adamson,Laurie Darmon,62,Oedipus Schmoedipus,,0,,
Le Trio Joubran,Jordan Robinso,62,Majâz,,0,,
MusiKazoo Ringers,Crooked Fingers,56,"Willkommen, Bienvenue, Welcome (Cabaret)",,0,,
James Henry Jr.,James Horner,69,Take Me Down Easy,,0,,
Nancy Sinatra,Nancy Sinatra,100,Boots,"Nancy Sinatra, Lee Hazlewood - Nancy & Lee Again - 2023",11,"Nancy & Lee - Nancy Sinatra, Lee Hazlewood - Nancy & Lee Again - 2023 - Start Walkin' 1965-1976","/mnt/m/musiques/__Autres/Nancy Sinatra/Nancy Sinatra, Lee Hazlewood - Nancy & Lee Again - 2023"
Mashrou' Leila,Lola Marsh,70,Ibn El Leil,,0,,
Nataly Dawn,Nataly Dawn,100,Careless Whisper,"Here, There and Everywhere",39,"For You - Gardenview - Here, There and Everywhere - How I Knew Her","/mnt/m/musiques/__Autres/Nataly Dawn/Here, There and Everywhere"
"Camille Saint-Saëns,Ensemble Musique Oblique",Camille Jansen,73,Saint-Saëns: The Carnival of the Animals; Piano Quintet; L'assassinat du duc de Guise,,0,,
"Antonín Dvořák,Sir Charles Mackerras,English Chamber Orchestra",Antonin,67,"Dvořák: Serenade in D Minor, Op. 44, B. 77 & Serenade in E Major, Op. 22, B. 52",,0,,
